tweet_id	date	retweet	Additive Manufacturing	Artificial Intelligence	CryptoCurrencies	Computing Infrastructure	Digital Health	Internet of Things	Quantum Computing	Robotics	Autonomous Vehicles	Hashtags	lat	lon	Country	Sentiment Score	Sentiment	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	URLs	followers	friends	statuses
1	Mon Oct 15 15:30:32 +0000 2018	0	0	1	0	0	0	0	0	0	0	#quantumcomputer;#Quantum;#quantum	Null	Null	Kerry, Ireland	-0.1531	NEG	0.0	0.0	0.0	0.2	0.0	0.2	0.2	0.2	0.0	0.0	http://ow.ly/dyvC30meybe	253	537	2904
2	Mon Oct 15 14:42:51 +0000 2018	0	0	1	0	0	0	0	0	0	0	#quantumcomputer;#Quantum;#quantum	Null	Null	Rome, Italy	0.0	NEU	0	0	0	0	0	0	0	0	0	0	http://bit.ly/2yAF8qg	429	167	5035
3	Mon Oct 15 12:50:03 +0000 2018	1	0	1	0	0	0	1	0	0	0	#Quantumcomputing;#quantumcomputing;#Quantum;#QuantumComputing;#quantum;Artificial	Null	Null		0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	6631	6314	30313
4	Mon Oct 15 03:12:52 +0000 2018	1	0	0	0	0	0	0	0	0	0		Null	Null	IG @1only1queen	0.0	NEU	0.0	0.2	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	https://buff.ly/2RsO0a9	2351	1081	152077
5	Sun Oct 14 22:13:12 +0000 2018	1	0	1	0	0	0	1	0	1	1	#quantumcomputer;#Quantum;#quantum;#ai;#AI;Artificial;#AI;#Fintech;#fintech;#Robots;#robot	Null	Null	Bad Wildbad, Deutschland	0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	5324	3010	129611
6	Sun Oct 14 22:03:13 +0000 2018	1	0	1	0	0	0	1	0	1	1	#quantumcomputer;#Quantum;#quantum;#ai;#AI;Artificial;#AI;#Fintech;#fintech;#Robots;#robot	Null	Null		0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	39667	7396	38888
7	Sun Oct 14 20:49:02 +0000 2018	1	0	1	0	0	0	1	0	1	1	#quantumcomputer;#Quantum;#quantum;#ai;#AI;Artificial;#AI;#Fintech;#fintech;#Robots;#robot	Null	Null		0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	1338	2563	45163
8	Sun Oct 14 11:00:46 +0000 2018	1	0	1	0	0	0	1	0	1	1	#quantumcomputer;#Quantum;#quantum;#ai;#AI;Artificial;#AI;#Fintech;#fintech;#Robots;#robot	Null	Null	India	0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	2023	1213	141133
9	Sun Oct 14 03:35:03 +0000 2018	1	0	1	0	0	0	1	0	1	1	#quantumcomputer;#Quantum;#quantum;#ai;#AI;Artificial;#AI;#Fintech;#fintech;#Robots;#robot	Null	Null		0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	5773	5633	206437
10	Sun Oct 14 03:33:02 +0000 2018	0	0	1	0	0	0	1	0	1	1	#quantumcomputer;#Quantum;#quantum;#ai;#BigData;#AI;Artificial;#AI;#Fintech;#fintech;#Robots;#robot	Null	Null		0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	http://bit.ly/2NDS1FJ	39667	7396	38888
11	Sat Oct 13 12:06:40 +0000 2018	0	0	1	0	0	0	1	0	0	0	#quantumcomputer;#Quantumcomputing;#quantumcomputing;#Quantum;#QuantumComputing;#quantum;Artificial	Null	Null	San Francisco, CA	0.6114	POS	0.0	0.16666666666666666	0.0	0.0	0.3333333333333333	0.0	0.3333333333333333	0.0	0.0	0.0	https://www.digitaltrends.com/cool-tech/artificial-life-quantum-computing/	4419	3553	2666
12	Fri Oct 12 16:05:08 +0000 2018	0	0	1	0	0	0	0	0	0	0	#quantumcomputer;#Quantum;#quantum	Null	Null		0.0	NEU	0.0	0.0	0.0	0.0	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.0	0.0	0.0	http://nist.gov/news-events/ne	2405	596	2092
13	Fri Oct 12 09:22:02 +0000 2018	0	0	1	0	0	0	0	0	0	0	#quantumcomputer;#Quantumcomputing;#quantumcomputing;#Quantum;#QuantumComputing;#quantum	Null	Null	France	0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://arxiv.org/abs/1810.02289	133	78	1626
14	Fri Oct 12 05:07:31 +0000 2018	1	0	1	0	0	0	1	0	0	0	#quantumcomputer;#Quantum;#quantum;#artificialintelligence;#ArtificialIntelligence;Artificial;ArtificialIntelligence	Null	Null	Dehradun, India	0.1027	POS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	1516	1004	27475
15	Fri Oct 12 03:35:02 +0000 2018	0	0	1	0	0	0	0	0	0	0	#quantumcomputer;#Quantum;#quantum	Null	Null		0.4919	POS	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.0	0.1111111111111111	0.0	0.0	0.0	https://buff.ly/2yz5OIc	531	1686	2367
16	Fri Oct 12 02:46:53 +0000 2018	1	0	0	0	0	0	0	0	0	0		Null	Null	São Paulo, Brasil	0.0	NEU	0.0	0.0	0.0	0.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.0	0.0	0.0	None	160	1714	135
17	Mon Oct 15 20:42:21 +0000 2018	1	0	0	0	0	0	1	1	0	0	#ai;#AI;#AI;#Digitalhealth;#DigitalHealth;digitalhealth	Null	Null	Cologne, Germany	0.4019	POS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	873	839	11935
18	Fri Oct 12 02:40:48 +0000 2018	0	0	1	0	0	0	0	0	0	0	#quantumcomputer;#Quantum;#quantum	Null	Null	Toronto, Ontario	0.4919	POS	0.0	0.0	0.0	0.08333333333333333	0.08333333333333333	0.0	0.08333333333333333	0.0	0.0	0.0	None	1147	4904	1203
19	Thu Oct 11 20:31:34 +0000 2018	0	0	1	0	0	0	1	0	0	0	#quantumcomputer;#Quantum;#quantum;#Machinelearning;#artificialintelligence;#ai;#MachineLearning;#ArtificialIntelligence;#AI;Artificial;MachineLearning;ArtificialIntelligence;#AI	Null	Null	UK-Portugal-Europe-World	0.0	NEU	0	0	0	0	0	0	0	0	0	0	http://shr.gs/KzF2Rtf	620	915	23357
20	Mon Oct 15 20:41:32 +0000 2018	0	0	0	0	0	0	0	1	0	0	#Digitalhealth;#DigitalHealth;digitalhealth	Null	Null	07945	0.6705	POS	0.0	0.16666666666666666	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	https://www.cnbc.com/2018/10/15/apple-and-zimmer-biomet-bring-apple-watch-to-people-getting-new-knees.html?__source=sharebar%7Ctwitter&par=sharebar	52533	43134	88290
21	Thu Oct 11 20:07:12 +0000 2018	0	0	1	0	0	0	0	0	0	0	#quantumcomputer;#Quantum;#quantum	Null	Null	Kenya	0.0	NEU	0.0	0.0	0.0	0.5	0.0	0.5	0.25	0.0	0.0	0.0	None	713	698	3204
22	Mon Oct 15 20:40:37 +0000 2018	1	0	0	0	0	0	0	1	0	0	#Digitalhealth;#DigitalHealth;#healthcare;digitalhealth	Null	Null	Boston, MA	0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	529	8	30858
23	Thu Oct 11 20:00:38 +0000 2018	0	0	1	0	0	0	0	0	0	0	#quantumcomputer;#Quantum;#quantum	Null	Null	Shanghai, China	0.0	NEU	0.0	0.0	0.0	0.5	0.0	0.5	0.25	0.0	0.0	0.0	None	142241	120810	152918
24	Mon Oct 15 20:40:42 +0000 2018	0	0	0	0	0	0	0	0	0	0		Null	Null	Boston, Massachusetts	0.75	POS	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	https://twitter.com/CosmoMacero/status/1051931887441256448	638	627	1581
25	Thu Oct 11 17:42:12 +0000 2018	0	0	1	0	0	0	0	0	0	0	#quantumcomputer;#Quantum;#quantum	Null	Null	Antwerp, Belgium	0.3971	POS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	2439	2465	16786
26	Mon Oct 15 20:40:09 +0000 2018	0	0	0	0	0	0	0	1	0	0	#healthtech;#Digitalhealth;#DigitalHealth;digitalhealth	Null	Null	California, USA	-0.2263	NEG	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.0	0.3333333333333333	0.5	0.16666666666666666	0.16666666666666666	0.16666666666666666	http://ow.ly/EmVc30mf56B	1038	1334	779
27	Thu Oct 11 15:35:10 +0000 2018	0	0	1	0	0	0	0	0	0	0	#quantumcomputer;#Quantum;#quantum	Null	Null	ident.me	0.0	NEU	0.18181818181818182	0.0	0.0	0.18181818181818182	0.0	0.18181818181818182	0.0	0.09090909090909091	0.18181818181818182	0.18181818181818182	https://www.digitaltrends.com/computing/quantum-xchanges-john-prisco/	2412	2289	26929
28	Mon Oct 15 20:38:35 +0000 2018	1	0	0	0	0	0	0	0	0	0		Null	Null	Barcelona	-0.3595	NEG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	601	949	386
29	Mon Oct 15 20:32:33 +0000 2018	0	0	0	0	0	0	0	0	0	0		Null	Null	Santa Clara, CA	0.25	POS	0.2	0.4	0.2	0.4	0.0	0.2	0.4	0.2	0.0	0.0	https://www.prnewswire.com/news-releases/body-vision-medical-announces-8-5-million-in-funding-300706167.html	382	1099	1660
30	Mon Oct 15 20:39:54 +0000 2018	1	0	0	0	0	0	0	1	0	0	#Digitalhealth;#DigitalHealth;#healthcare;digitalhealth	Null	Null		0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	1327	52	46900
31	Thu Oct 11 15:17:40 +0000 2018	0	0	1	0	0	0	0	0	0	0	#quantumcomputer;#Quantum;#quantum	Null	Null	París, Francia	0.7579	POS	0.0	0.1	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	http://bit.ly/Attend_ILS	50	187	12
32	Mon Oct 15 20:26:56 +0000 2018	1	0	0	0	0	0	0	0	0	0		Null	Null	Australia	0.4404	POS	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	None	149	1904	158
33	Mon Oct 15 20:38:44 +0000 2018	1	0	0	0	0	0	0	0	0	0		Null	Null	Global	0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	6693	742	2637
34	Thu Oct 11 12:36:27 +0000 2018	1	0	1	0	0	0	0	0	0	0	#Quantum;#quantum	Null	Null	Paris, France	0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://ift.tt/2PsMCD8	4186	936	28358
35	Mon Oct 15 20:25:23 +0000 2018	1	0	0	0	0	0	0	0	0	0		Null	Null	España	-0.3595	NEG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	2191	698	2979
36	Thu Oct 11 11:58:11 +0000 2018	0	0	1	0	0	0	0	0	0	0	#quantumcomputer;#Quantumcomputing;#quantumcomputing;#Quantum;#QuantumComputing;#quantum	Null	Null	France	0.0	NEU	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://ift.tt/2EmC3k6	133	78	1626
37	Thu Oct 11 11:34:52 +0000 2018	0	0	1	0	0	0	0	0	0	0	#quantumcomputer;#Quantumcomputing;#quantumcomputing;#Quantum;#QuantumComputing;#quantum	Null	Null	France	0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://ift.tt/2PsMCD8	133	78	1626
38	Mon Oct 15 20:24:49 +0000 2018	1	0	0	0	0	0	0	0	0	0		Null	Null		0.4404	POS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	1760	592	2402
39	Mon Oct 15 20:38:08 +0000 2018	1	0	0	0	0	0	0	0	0	0		Null	Null		0.7506	POS	0.0	0.3333333333333333	0.0	0.0	0.0	0.3333333333333333	0.0	0.3333333333333333	0.0	0.0	https://bit.ly/2nPWZ7M	506	475	1787
40	Thu Oct 11 07:00:40 +0000 2018	0	0	1	0	0	0	0	0	0	0	#quantumcomputer;#Quantumcomputing;#quantumcomputing;#Quantum;#QuantumComputing;#quantum	Null	Null	France	0.4404	POS	0.0	0.3333333333333333	0.0	0.0	0.3333333333333333	0.0	0.3333333333333333	0.0	0.0	0.0	https://ift.tt/2OSGiaM	133	78	1626
41	Mon Oct 15 20:24:38 +0000 2018	1	0	0	0	0	0	0	0	0	0		Null	Null		-0.3595	NEG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	348	630	1097
42	Mon Oct 15 20:23:17 +0000 2018	1	0	0	0	0	0	0	0	0	0		Null	Null		0.8126	POS	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.6666666666666666	0.0	0.0	0.0	None	3050	4477	8369
43	Thu Oct 11 06:04:01 +0000 2018	1	0	0	0	0	0	0	0	0	0		Null	Null	@Trading_365	0.0	NEU	0.0	0.2	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	https://buff.ly/2RsO0a9	5711	6215	121842
44	Mon Oct 15 20:37:55 +0000 2018	1	0	0	0	0	0	0	1	0	0	#Digitalhealth;#healthIT;#DigitalHealth;digitalhealth	Null	Null	Global	0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://mailchi.mp/pulseitmagazine/16october2018	4154	123	213926
45	Mon Oct 15 20:12:36 +0000 2018	1	0	0	0	0	0	0	0	1	0	Blockchain	Null	Null		0.7574	POS	0.0	0.5	0.0	0.0	0.5	0.0	0.5	0.0	0.5	0.5	None	191	326	1289
46	Mon Oct 15 20:24:24 +0000 2018	1	0	0	0	0	0	0	0	0	0		Null	Null	Cataluña, España	-0.3595	NEG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	504	479	2711
47	Mon Oct 15 20:24:14 +0000 2018	0	0	0	0	0	0	0	1	0	0	#healthcare	Null	Null	Barcelona	-0.3595	NEG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://lnkd.in/dwXK66M	2153	1191	8396
